species;latitude;longitude
Pinus koraiensis;43.36567115;133.9426491
Pinus koraiensis;43.36567115;133.9426491
Pinus koraiensis;45.03767623;136.590514
Pinus koraiensis;45.04031451;136.6167782
Pinus koraiensis;43.455314;132.57266
Pinus koraiensis;45.04662163;136.604204
Pinus koraiensis;43.1593655;132.7826133
Pinus koraiensis;35.498173;137.994876
Pinus koraiensis;35.923028;137.449722
Pinus koraiensis;35.854444;138.196944
Pinus koraiensis;38.183333;127.4
